DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
2021/11/1 0:00,4,15956,118,6.8,95,742,4.3,13620,13399
2021/11/1 0:15,3.7,15634,117,6.8,95,742,4.7,16689,17363
2021/11/1 0:30,3.5,15347,117,6.8,95,742,4,10999,9770
2021/11/1 0:45,3.3,15060,117,6.7,96,741,3.5,7216,5695
2021/11/1 1:00,3,14773,117,6.7,96,741,3.7,8973,9324
2021/11/1 1:15,2.9,14603,117,6.7,96,741,4,12071,11222
2021/11/1 1:30,2.9,14551,117,6.7,96,741,4.1,12447,11836
2021/11/1 1:45,3,14500,118,6.6,97,741,4,11462,10775
2021/11/1 2:00,3,14448,118,6.6,97,741,3.7,8862,9212
2021/11/1 2:15,2.8,14299,117,6.6,97,741,3.9,10010,8877
2021/11/1 2:30,2.6,14052,115,6.6,97,741,3.7,8344,7537
2021/11/1 2:45,2.5,13805,111,6.6,97,741,3.6,8278,7649
2021/11/1 3:00,2.3,13558,108,6.6,97,741,3.2,5664,5360
2021/11/1 3:15,2.2,13428,106,6.6,97,741,3.1,5653,5025
2021/11/1 3:30,2.2,13416,103,6.6,97,741,3.3,5896,5806
2021/11/1 3:45,2.3,13404,103,6.6,97,740,3.2,5602,4801
2021/11/1 4:00,2.2,13392,100,6.6,97,740,3.2,5082,4801
2021/11/1 4:15,2.2,13362,100,6.6,97,740,3.3,5630,5695
2021/11/1 4:30,2.2,13313,98,6.6,97,740,3.6,8623,9770
2021/11/1 4:45,2.2,13264,98,6.6,97,740,3.8,9415,7984
2021/11/1 5:00,2.2,13215,95,6.6,97,740,3.5,7598,7146
2021/11/1 5:15,2.2,13249,95,6.6,97,740,3.2,7186,7649
2021/11/1 5:30,2.2,13366,98,6.6,97,740,3.6,8230,8430
2021/11/1 5:45,2.2,13483,100,6.6,97,740,3.6,8061,7035
